id,location,coordinates
2574715662.0,Russia,"(40.2338211, -84.4096729)"
2575046530.0,"Ростов-на-Дону, Россия","(47.2216548, 39.7096061)"
2575471053.0,Санкт-Петербург ,"(59.938732, 30.316229)"
2578226850.0,Россия,"(64.6863136, 97.7453061)"
2578422308.0,"Тула, Тульская область","(54.1930321, 37.61754)"
2579342751.0,USA,"(39.7837304, -100.445882)"
2584152521.0,Montgomery,"(32.3669656, -86.3006485)"
2586491520.0,"Москва, Россия","(55.625578, 37.6063916)"
2586506586.0,Москва,"(55.625578, 37.6063916)"
2587100717.0,USA,"(39.7837304, -100.445882)"
2587843805.0,"Kansas City, MO","(39.100105, -94.5781416)"
2589353987.0,USA,"(39.7837304, -100.445882)"
2590038478.0,USA,"(39.7837304, -100.445882)"
2601235821.0,"Pittsburgh, PA","(40.4416941, -79.9900861)"
2604334823.0,USA,"(39.7837304, -100.445882)"
2606301939.0,USA,"(39.7837304, -100.445882)"
2616344667.0,United States,"(39.7837304, -100.445882)"
2620614029.0,"Philadelphia, PA","(39.9527237, -75.1635262)"
2620869737.0,USA,"(39.7837304, -100.445882)"
2624554209.0,"Los Angeles, CA","(34.0536909, -118.242766)"
2668171329.0,USA,"(39.7837304, -100.445882)"
2671070290.0,USA,"(39.7837304, -100.445882)"
2732675512.0,arkansas,"(35.2048883, -92.4479108)"
2742482932.0,Boston,"(42.3554334, -71.060511)"
2743327187.0,"Washington, D.C.","(38.8950368, -77.0365427)"
2752677905.0,"New York, NY","(40.7127281, -74.0060152)"
2753146444.0,"City of Cleveland, USA","(33.75506365, -90.751475046553)"
2753211010.0,"City of Phoenix, Arizona","(33.4484367, -112.074141)"
2753338899.0,"City of San Antonio, TX","(29.411883449999998, -98.50103956168861)"
2882013788.0,"Pittsburgh, US","(40.4416941, -79.9900861)"
2882037326.0,USA,"(39.7837304, -100.445882)"
2882331822.0,USA,"(39.7837304, -100.445882)"
2882350436.0,USA,"(39.7837304, -100.445882)"
3071479646.0,"Baltimore, MD","(39.2908816, -76.610759)"
3074563039.0,"St Louis, MO","(38.6280278, -90.1910154)"
3080829096.0,"Richmond, VA","(37.5385087, -77.43428)"
3083086600.0,USA,"(39.7837304, -100.445882)"
3084360275.0,USA,"(39.7837304, -100.445882)"
3091936475.0,"Newark, NJ","(40.735657, -74.1723667)"
3091979410.0,"Baton Rouge, LA","(30.4494155, -91.1869659)"
3312143142.0,StLouis,"(36.237632, -95.9705863)"
4271904983.0,All Over Texas,
4301962823.0,Black America,"(31.0093468, -85.7443772)"
4355797094.0,"Texas, USA","(31.2638905, -98.5456116)"
1504356343.0,USA,"(39.7837304, -100.445882)"
1512371617.0,USA,"(39.7837304, -100.445882)"
1527133837.0,United States,"(39.7837304, -100.445882)"
1534083420.0,"Atlanta, GA","(33.7489924, -84.3902644)"
1621376306.0,USA,"(39.7837304, -100.445882)"
1623062953.0,USA,"(39.7837304, -100.445882)"
1626302035.0,"Bronx, NY","(40.8466508, -73.8785937)"
1645969141.0,USA,"(39.7837304, -100.445882)"
1646999972.0,USA,"(39.7837304, -100.445882)"
1647637538.0,"Houston, TX","(29.7589382, -95.3676974)"
1651108392.0,USA,"(39.7837304, -100.445882)"
1653393446.0,"Miami, FL","(25.7741728, -80.19362)"
1654347974.0,USA,"(39.7837304, -100.445882)"
1654695517.0,USA,"(39.7837304, -100.445882)"
1655288160.0,"Baltimore, MD","(39.2908816, -76.610759)"
1655815544.0,USA,"(39.7837304, -100.445882)"
1657753759.0,"Houston, TX","(29.7589382, -95.3676974)"
1660183028.0,"Oklahoma, PA","(40.5814403, -79.5740244)"
1660186831.0,USA,"(39.7837304, -100.445882)"
1660804459.0,United States,"(39.7837304, -100.445882)"
1662779209.0,USA,"(39.7837304, -100.445882)"
1663583694.0,"Chicago, IL","(41.8755616, -87.6244212)"
1668314575.0,"Atlanta, GA","(33.7489924, -84.3902644)"
1670762347.0,"Arizona, USA","(34.395342, -111.763275)"
1675280893.0,"Atlanta, GA","(33.7489924, -84.3902644)"
1680366068.0,"Ferguson, MO","(38.744707, -90.3038975)"
1683608846.0,USA,"(39.7837304, -100.445882)"
1685229229.0,USA,"(39.7837304, -100.445882)"
1688003786.0,USA,"(39.7837304, -100.445882)"
1691000604.0,"Chicago, IL","(41.8755616, -87.6244212)"
1696996141.0,NH,"(43.4849133, -71.6553992)"
1706657124.0,US,"(17.789187, -64.7080574)"
1709314117.0,"Missouri, USA","(38.7604815, -92.5617875)"
1711063908.0,USA,"(39.7837304, -100.445882)"
1850866398.0,USA,"(39.7837304, -100.445882)"
1863956756.0,USA,"(39.7837304, -100.445882)"
1868810166.0,USA,"(39.7837304, -100.445882)"
1877492857.0,USA,"(39.7837304, -100.445882)"
1882324014.0,United States,"(39.7837304, -100.445882)"
2351739462.0,"Россия, Москва","(55.625578, 37.6063916)"
2491401030.0,United States,"(39.7837304, -100.445882)"
2496599688.0,Atlanta,"(33.7489924, -84.3902644)"
2497991305.0,USA,"(39.7837304, -100.445882)"
2530830345.0,"New Orleans, LA","(29.9759983, -90.0782127)"
2533221819.0,USA,"(39.7837304, -100.445882)"
2534421182.0,Atlanta,"(33.7489924, -84.3902644)"
2537507303.0,"El Paso, Texas","(31.7550511, -106.488234)"
2573225349.0,US,"(17.789187, -64.7080574)"
2577082467.0,"Cincinnati, OH","(39.1014537, -84.5124602)"
2580516159.0,USA,"(39.7837304, -100.445882)"
2591847731.0,"Boston, USA","(42.3554334, -71.060511)"
2598367019.0,USA,"(39.7837304, -100.445882)"
2611151319.0,"Seattle, WA","(47.6038321, -122.330062)"
2628066159.0,"Houston, TX","(29.7589382, -95.3676974)"
2630842499.0,"San Diego, CA","(32.7174202, -117.1627728)"
2675966513.0,"Dallas, Texas","(32.7762719, -96.7968559)"
2944766250.0,"Atlanta, GA","(33.7489924, -84.3902644)"
2944944427.0,"Miami, FL","(25.7741728, -80.19362)"
3070151882.0,"Brussel, België","(50.8465573, 4.351697)"
3074013672.0,"Oakland, CA","(37.8044557, -122.271356)"
